id,sku,name,price,currency,in_stock,categories,short_description,permalink
multifuction-pir-motion-sensor-alarm,multifuction-pir-motion-sensor-alarm,Multifunction Motion Sensor Alarm / Security PIR Sensor Anti-thef Remote Control...,1700,BDT,yes,,,https://makersbd.com/product/multifuction-pir-motion-sensor-alarm
automatic-mini-digital-ncv-multimeter-12b,automatic-mini-digital-ncv-multimeter-12b,Full Automatic Smart Mini Digital Multimeter AC/DC Electrical Instruments Tester...,990,BDT,yes,,,https://makersbd.com/product/automatic-mini-digital-ncv-multimeter-12b
5-in-1-magnetic-screwdriver-set,5-in-1-magnetic-screwdriver-set,Magnetic 5in1 Pentalobe Screwdriver Repair Tool Set,150,BDT,yes,,,https://makersbd.com/product/5-in-1-magnetic-screwdriver-set
esp8266-d1-mini-12e-mod-nodemcu,esp8266-d1-mini-12e-mod-nodemcu,NodeMcu ESP8266 ESP-12F Mini NodeMCU ESP D1 Mini Type C,350,BDT,yes,,,https://makersbd.com/product/esp8266-d1-mini-12e-mod-nodemcu
volume-knobs-shaft-potentiometer-6mm,volume-knobs-shaft-potentiometer-6mm,Volume Knob Cap for Spline Shaft Potentiometer and Volume Control 6mm Red and Bl...,20,BDT,yes,,,https://makersbd.com/product/volume-knobs-shaft-potentiometer-6mm
dc-male-female-jack-combo-set,dc-male-female-jack-combo-set,DC Male-Female Jack Combo 1 Pair,30,BDT,yes,,,https://makersbd.com/product/dc-male-female-jack-combo-set
mini-slide-switch-3pin,mini-slide-switch-3pin,Mini Slide On/ Off Switch SPDT 3-Pin,15,BDT,yes,,,https://makersbd.com/product/mini-slide-switch-3pin
power-soldering-loson-flux,power-soldering-loson-flux,Power Soldering Loson Flux Liquid for Battery Soldering-1Pc,35,BDT,yes,,,https://makersbd.com/product/power-soldering-loson-flux
wire-cutter-pliers-blue-pcafc-170-diagonal,wire-cutter-pliers-blue-pcafc-170-diagonal,Wire Cutters Pliers Hand Tools Blue PCAFC 170 Diagonal 5inch,170,BDT,yes,,,https://makersbd.com/product/wire-cutter-pliers-blue-pcafc-170-diagonal
8-in-1-screwdriver-pen-type,8-in-1-screwdriver-pen-type,8-in-1 Screwdriver Pen Changeable Bits Easy Repairs Screwdriver Set Blue Black,250,BDT,yes,,,https://makersbd.com/product/8-in-1-screwdriver-pen-type
aneng-dt9205a-rechargeable-multimeter-digital,aneng-dt9205a-rechargeable-multimeter-digital,ANENG DT9205A RECHARGEABLE Type-C Digital Multimeter,1250,BDT,yes,,,https://makersbd.com/product/aneng-dt9205a-rechargeable-multimeter-digital
dc,dc,USB Soldering Iron 5V DC 8W,530,BDT,yes,,,https://makersbd.com/product/dc
dc-power-socket-and-jack-plug,dc-power-socket-and-jack-plug,DC Power Socket and Jack Plug Connector Cable Wire for Diy Electronics,75,BDT,yes,,,https://makersbd.com/product/dc-power-socket-and-jack-plug
dc-to-dc-cable-male-for-ups,dc-to-dc-cable-male-for-ups,High Quality DC to DC Cable Male Cable for Diy Electronics DC UPS,45,BDT,yes,,,https://makersbd.com/product/dc-to-dc-cable-male-for-ups
