product,n_shops,n_rows,udvabony_price,udvabony_url,udvabony_name,techshopbd_price,techshopbd_url,techshopbd_name,makersbd_price,makersbd_url,makersbd_name,electronics.com.bd_price,electronics.com.bd_url,electronics.com.bd_name
Wired GSM PCB Antennas 2.4GHz 2.5dBi Built In PCB Antenna Module For Electronics Engineering Project DIY GSM Antenna Electrical Circuitry & Parts,1,1,110.0,https://udvabony.com/product/2-4g-2-5db-built-in-pcb-antenna-module/,Wired GSM PCB Antennas 2.4GHz 2.5dBi Built In PCB Antenna Module For Electronics Engineering Project DIY GSM Antenna Electrical Circuitry & Parts,,,,,,,,,
SMA GPS Flat Blade Antenna Frequency 915 MHz With 3M Adhesive Sticker Mount Patch Antenna,1,1,299.0,https://udvabony.com/product/blade-gsm-antenna-915mhz/,SMA GPS Flat Blade Antenna Frequency 915 MHz With 3M Adhesive Sticker Mount Patch Antenna,,,,,,,,,
APM2.8 APM 2.8 Radio Control Multi Copter Flight Control Board With 6M Case GPS Compass For DIY FPV RC Multirotor Drone,1,1,5800.0,https://udvabony.com/product/apm2-8-flight-controller-neo-6m-gps-module/,APM2.8 APM 2.8 Radio Control Multi Copter Flight Control Board With 6M Case GPS Compass For DIY FPV RC Multirotor Drone,,,,,,,,,
Arduino DUE R3 32 Bit ARM Cortex-M3 Compatible Development Board With USB Cable For Electronics Engineering Project And Industry,1,1,,https://udvabony.com/product/arduino-due-r3-2/,Arduino DUE R3 32 Bit ARM Cortex-M3 Compatible Development Board With USB Cable For Electronics Engineering Project And Industry,,,,,,,,,
Arduino LEONARDO R3 ATMEGA32U4 Leonardo R3 Microcontroller Atmega32u4 Development Board With USB Cables Arduino Compatible DIY Evaluation Board,1,1,1899.0,https://udvabony.com/product/arduino-leonardo-atmega32u4/,Arduino LEONARDO R3 ATMEGA32U4 Leonardo R3 Microcontroller Atmega32u4 Development Board With USB Cables Arduino Compatible DIY Evaluation Board,,,,,,,,,
LILYPAD Arduino Lilypad 328 Main Board Arduino LilyPad 328 ATmega328P Main Board 16M Compatible With Arduino 5 Pin Leads Header Cables Connectors,1,1,499.0,https://udvabony.com/product/arduino-lilypad-atmega328p/,LILYPAD Arduino Lilypad 328 Main Board Arduino LilyPad 328 ATmega328P Main Board 16M Compatible With Arduino 5 Pin Leads Header Cables Connectors,,,,,,,,,
MEGA Arduino Mega 2560 R3 ATmega2560 Microcontroller AVR Development Board With USB Cable Arduino Mega R3 For Electronics Project,2,2,1650.0,https://udvabony.com/product/arduino-mega-r3-2560/,MEGA Arduino Mega 2560 R3 ATmega2560 Microcontroller AVR Development Board With USB Cable Arduino Mega R3 For Electronics Project,,,,,,,1699.0,https://electronics.com.bd/arduino-mega-2560-r3-made-in-italy,"Official Arduino Mega 2560 R3 with the native ATMega16U2 chip for high-speed, driver-free USB connectivity."
NANO Arduino Nano ATMEGA328 Microcontroller With USB Cables Arduino NANO V3 Development Board Arduino Nano R3 For Electronic Projects,1,1,420.0,https://udvabony.com/product/arduino-nano-r3-atmega328/,NANO Arduino Nano ATMEGA328 Microcontroller With USB Cables Arduino NANO V3 Development Board Arduino Nano R3 For Electronic Projects,,,,,,,,,
2 In 1 DC 5V Micro USB To 3.7V Battery Charger Circuit Lithium Battery Charging Module Charge Discharge Circuit Power Bank Circuit For 18650 AA AAA 3.7V Batteries,1,1,25.0,https://udvabony.com/product/18650-lithium-battery-power-mobile-bank/,2 In 1 DC 5V Micro USB To 3.7V Battery Charger Circuit Lithium Battery Charging Module Charge Discharge Circuit Power Bank Circuit For 18650 AA AAA 3.7V Batteries,,,,,,,,,
MP300mAh Battery NI-MH 9V Battery Rechargeable Battery 9V Rechargeable Battery 6F22 9V Battery Rechargeable 450mAh Rechargeable Battery For Multimeter Battery,1,4,55.0,https://udvabony.com/product/6f22-9v-battry/,9V Battery Non Rechargeable Battery 9V Non-Rechargeable Battery 6F22 9V Battery Non Rechargeable Battery For Multimeter Battery,,,,,,,,,
MAXELL1632 CR1632 Battery 3V CR1632 Watch Battery CR1632 Button Cell Battery CR1632 Coin Cell Battery CR1632 Lithium Cell Battery 140mAh 3V Battery For Watch,2,17,15.0,https://udvabony.com/product/cr2032-3v-battery/,CR2032 Battery 3V CR2032 Watch Battery CR2032 Button Cell Battery CR2032 Coin Cell Battery CR2032 Lithium Cell Battery 3V Battery For Watch,,,,,,,65.0,https://electronics.com.bd/cmos-cr2032-3v-lithium-coin-battery,CMOS CR2032 3v Lithium Battery Coin Button Cell Motherboard Calculators Clock Watch Batteries
