id,sku,name,price,currency,in_stock,categories,short_description,permalink,shop
6634,u6634,2SK2098 2SK-2098 K2098 2098 MOSFET 150V 20A 50W TO-220 Switching N-Channel Power MOSFET Transistor,55.0,BDT,yes,MOSFETs & IGBTs | MOSFETs,2SK2098 2SK-2098 K2098 2098 MOSFET 150V 20A 50W TO-220 Switching N-Channel Power MOSFET Transistor,https://udvabony.com/product/2sk2098-n-channel-mosfet/,udvabony
6637,u6637,A Class 2SK2461 2SK-2461 K2461 2461 MOSFET 100V 20A 35W TO-220 Switching N-Channel Power MOSFET Transistor,55.0,BDT,yes,MOSFETs & IGBTs | MOSFETs,A Class 2SK2461 2SK-2461 K2461 2461 MOSFET 100V 20A 35W TO-220 Switching N-Channel Power MOSFET Transistor,https://udvabony.com/product/2sk2461-mosfet/,udvabony
6640,u6640,2SK2462 2SK-2462 K2462 2462 MOSFET 100V 15A 30W TO-220 Switching N-Channel Power MOSFET Transistor,40.0,BDT,yes,MOSFETs & IGBTs | MOSFETs,2SK2462 2SK-2462 K2462 2462 MOSFET 100V 15A 30W TO-220 Switching N-Channel Power MOSFET Transistor,https://udvabony.com/product/2sk2462-mosfet-100v15a-to-220f/,udvabony
6643,u6643,2SK2485 2SK-2485 K2485 2485 MOSFET 900V 6A 100W TO-247 TO-3P Switching N-Channel Power MOSFET Transistor,95.0,BDT,yes,MOSFETs & IGBTs | MOSFETs,2SK2485 2SK-2485 K2485 2485 MOSFET 900V 6A 100W TO-247 TO-3P Switching N-Channel Power MOSFET Transistor,https://udvabony.com/product/2sk2485-mosfet-100w-900v-6a/,udvabony
6646,u6646,2SK2508 2SK-2508 K2508 2508 MOSFET 250V 13A TO-220 Switching N-Channel Power MOSFET Transistor,55.0,BDT,yes,MOSFETs & IGBTs | MOSFETs,2SK2508 2SK-2508 K2508 2508 MOSFET 250V 13A TO-220 Switching N-Channel Power MOSFET Transistor,https://udvabony.com/product/2sk2508-mosfet-250v-13a/,udvabony
6649,u6649,2SK2638 2SK-2638 K2638 2638 MOSFET 450V 10A 50W TO-220 Switching N-Channel Power MOSFET Transistor,40.0,BDT,yes,MOSFETs & IGBTs | MOSFETs,2SK2638 2SK-2638 K2638 2638 MOSFET 450V 10A 50W TO-220 Switching N-Channel Power MOSFET Transistor,https://udvabony.com/product/2sk2638-01mr-mosfet/,udvabony
6652,u6652,2SK2645 2SK-2645 K2645 2645 MOSFET 600V 8A 50W TO-220 Switching N-Channel Power MOSFET Transistor,69.0,BDT,yes,MOSFETs & IGBTs | MOSFETs,2SK2645 2SK-2645 K2645 2645 MOSFET 600V 8A 50W TO-220 Switching N-Channel Power MOSFET Transistor,https://udvabony.com/product/2sk2645-n-fet-600v-8a-50w-to220/,udvabony
6655,u6655,2SK2700 2SK-2700 K2700 2700 MOSFET 900V 3A 40W TO-220 Switching N-Channel Power MOSFET Transistor,49.0,BDT,no,,2SK2700 2SK-2700 K2700 2700 MOSFET 900V 3A 40W TO-220 Switching N-Channel Power MOSFET Transistor,https://udvabony.com/product/2sk2700-n-mosfet-900v-3a-40w-to220/,udvabony
6658,u6658,ORGINAL TTK2837 2SK-2837 K2837 2837 MOSFET 20A 500V TO-3P Field Effect Transistor Silicon N-Channel Power MOSFET Transistor,170.0,BDT,yes,MOSFETs & IGBTs | MOSFETs,2SK2837 2SK-2837 K2837 2837 MOSFET 20A 500V TO-3P Field Effect Transistor Silicon N-Channel Power MOSFET Transistor,https://udvabony.com/product/2sk2837-silicon-n-channel-mosfet/,udvabony
6661,u6661,2SK2850 MOSFET Transistor K2850 Transistor 6A 900V 125W TO-3P 3 Pin Leads Transistor N-Channel MOSFET Transistor,110.0,BDT,yes,MOSFETs & IGBTs | MOSFETs,2SK2850 2SK-2850 K2850 2850 MOSFET 6A 900V 125W TO-3P Field Effect Transistor Silicon N-Channel Power MOSFET Transistor,https://udvabony.com/product/2sk2850-n-channel-mosfet/,udvabony
6664,u6664,2SK2952 2SK-2952 K2952 2952 MOSFET 400V 8.5A TO-220 Field Effect Transistor Silicon N-Channel Power MOSFET Transistor,40.0,BDT,yes,MOSFETs & IGBTs | MOSFETs,2SK2952 2SK-2952 K2952 2952 MOSFET 400V 8.5A TO-220 Field Effect Transistor Silicon N-Channel Power MOSFET Transistor,https://udvabony.com/product/2sk2952-n-channel-400v-8-5a/,udvabony
6667,u6667,2SK2996 2SK-2996 K2996 2996 MOSFET 600V 10A TO-220 Field Effect Transistor Silicon N-Channel Power MOSFET Transistor,80.0,BDT,yes,MOSFETs & IGBTs | MOSFETs,2SK2996 2SK-2996 K2996 2996 MOSFET 600V 10A TO-220 Field Effect Transistor Silicon N-Channel Power MOSFET Transistor,https://udvabony.com/product/2sk2996-600v-10a-n-channel-mosfet/,udvabony
6670,u6670,2SK3115 2SK-3115 K3115 3115 MOSFET 450V 6A TO-220 Field Effect Transistor Silicon N-Channel Power MOSFET Transistor,40.0,BDT,yes,MOSFETs & IGBTs | MOSFETs,2SK3115 2SK-3115 K3115 3115 MOSFET 450V 6A TO-220 Field Effect Transistor Silicon N-Channel Power MOSFET Transistor,https://udvabony.com/product/2sk3115-n-channel-dmos-fet/,udvabony
