id,sku,name,price,currency,in_stock,categories,short_description,permalink
frequency-divider-3-way-crossover-audio-hifi-filters-diy-for-home-theater,1209,Frequency Divider 3 Way Crossover Audio HiFi Filters DIY For Home Theater,7700.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/frequency-divider-3-way-crossover-audio-hifi-filters-diy-for-home-theater
tda2030-audio-amplifier-board-module,2498,TDA2030 Audio Amplifier Board Module,105.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/tda2030-audio-amplifier-board-module
tpa3116d2-bluetooth-2-1-amplifier-board,2489,TPA3116D2 Bluetooth 2.1 Digital Audio Amplifier Board 50 + 50 w + 100 w of HIGH Bass Fidelity For Subwoofer Speaker,2385.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/tpa3116d2-bluetooth-2-1-amplifier-board
toshiba-1943-5200-2-1-power-amplifier-board-80w-2-100w,2488,Toshiba 1943-5200 2.1 Power Amplifier Board 80W * 2 + 100W,5399.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/toshiba-1943-5200-2-1-power-amplifier-board-80w-2-100w
ne5532-pre-amplifier-stereo-volume-control-board,2468,Pre amplifier NE5532 Stereo Volume Control Board Treble Midrange Bass Tone Controls,630.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/ne5532-pre-amplifier-stereo-volume-control-board
amplifier-board-tpa3116d2-50wx2-dual-channel-digital-stereo-dc-4-5-27v-class-d,2467,Amplifier Board TPA3116D2 50Wx2 Dual Channel Digital Stereo DC 4.5-27V Class D,850.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/amplifier-board-tpa3116d2-50wx2-dual-channel-digital-stereo-dc-4-5-27v-class-d
ct14-micro-4-2-stereo-bluetooth-power-amplifier-board-module,1203,CT14 Micro 4.2 Stereo Bluetooth Power Amplifier Board Module,185.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/ct14-micro-4-2-stereo-bluetooth-power-amplifier-board-module
tda2030-subwoofer-amplifier-board-15w-30w,1202,TDA2030 Subwoofer 2.1 Amplifier Board 15W*2+30W Sub Audio Stereo amplifier for DIY Speaker amp accessories Dual AC12V-15V,636.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/tda2030-subwoofer-amplifier-board-15w-30w
tda7850-mosfet-car-audio-amplifier-board-4-channel-12v-4x50w,1199,TDA7850 MOSFET Car Audio Amplifier Board 4-Channel 12V 4*50W,3673.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/tda7850-mosfet-car-audio-amplifier-board-4-channel-12v-4x50w
pam8610-audio-stereo-amplifier,1193,PAM8610 Audio Stereo Amplifier,250.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/pam8610-audio-stereo-amplifier
low-pass-filter-board-active-for-subwoofer-bass-ne5532,1180,Low Pass Filter Board Active For Subwoofer Bass NE5532,950.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/low-pass-filter-board-active-for-subwoofer-bass-ne5532
sanwu-yda138-bluetooth-digital-audio-amplifier-board-class-d-stereo-2-channel,1168,SANWU® YDA138 Bluetooth Digital Audio Amplifier Board Class D Stereo 2 channel,853.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/sanwu-yda138-bluetooth-digital-audio-amplifier-board-class-d-stereo-2-channel
tda8954th-2x420w-audio-amplifier-board,3789,2*420W Audio Amplifier Board TDA8954TH Class AD Power Stage Audio Amplifier Board Dual Channels Stereo,3999.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/tda8954th-2x420w-audio-amplifier-board
tda7492p-2x50w-bluetooth-amplifier-board,2393,TDA7492P 2x50W Wireless Bluetooth V4.0 Audio Receiver Power Amplifier Board,1033.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/tda7492p-2x50w-bluetooth-amplifier-board
tpa3116d2-amplifier-board-50wx2,2390,Amplifier board TPA3116D2 50Wx2 + 100 W 2.1 channel digital subwoofer Power 12 ~ 24V ( 16 pin ic ),1500.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/tpa3116d2-amplifier-board-50wx2
tda7293-100w-digital-audio-amplifier,1132,TDA7293 100W Digital Audio Amplifier,750.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/tda7293-100w-digital-audio-amplifier
pam8403-mini-5v-power-amplifier-board-support-usb-power-supply-3w3w,1122,PAM8403 Mini 5V Power Amplifier Board Support USB Power Supply 3W+3W,73.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/pam8403-mini-5v-power-amplifier-board-support-usb-power-supply-3w3w
dc-12v-24v-tpa3118-60w-mono-digital-audio-power-amplifier-board,2324,DC 12V-24V TPA3118 60W Mono Digital Audio Power Amplifier Board,240.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/dc-12v-24v-tpa3118-60w-mono-digital-audio-power-amplifier-board
tda7266-power-amplifier-audio-module-3-18v-dual-channel-7w-7w,2317,TDA7266 Power Amplifier Audio Module 3-18V Dual-channel 7W + 7W,219.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/tda7266-power-amplifier-audio-module-3-18v-dual-channel-7w-7w
pam8610-digital-power-amplifier-board,1041,PAM8610 digital power amplifier board,110.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/pam8610-digital-power-amplifier-board
